THIS/THESE	masc				fem				neuter				plural			
	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen
dies-	-er	-en	-em	-es + (e)s	-se	-se	-er	-er	-es	-es	-em	-es + (e)s	-se	-se	-en + n	-er
																
ARTICLES	masc				fem				neuter				plural			
	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen
the: d-	-er	-en	-em	-es + (e)s	-ie	-ie	-er	-er	-as	-as	-em	des + (e)s	-ie	-ie	-en + n	-er
a/an: ein-	-	-en	-em	-es + (e)s	-e	-e	-er	-er	-	-	-em	-es + (e)s	keine	keine	keinen + 'n'	keiner
																
POSSESSIVE ADJECTIVES																
	masc				fem				neuter				plural			
	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen
my: mein-	-	-en	-em	-es + (e)s	-e	-e	-er	-er	-	-	-em	-es + (e)s	-e	-e	-en + n	-er
your (inf.): dein-	-	-en	-em	-es + (e)s	-e	-e	-er	-er	-	-	-em	-es + (e)s	-e	-e	-en + n	-er
your (form.): Ihr-	-	-en	-em	-es + (e)s	-e	-e	-er	-er	-	-	-em	-es + (e)s	-e	-e	-en + n	-er
your (pl.): eu-	-er	-ren	-rem	-res + (e)s	-re	-re	-rer	-rer	-er	-er	-rem	-res + (e)s	-re	-re	-ren + n	-rer
his: sein-	-	-en	-em	-es + (e)s	-e	-e	-er	-er	-	-	-em	-es + (e)s	-e	-e	-en + n	-er
her: ihr-	-	-en	-em	-es + (e)s	-e	-e	-er	-er	-	-	-em	-es + (e)s	-e	-e	-en + n	-er
its:sein-	-	-en	-em	-es + (e)s	-e	-e	-er	-er	-	-	-em	-es + (e)s	-e	-e	-en + n	-er
our:unser-	-	-en	-em	-es + (e)s	-e	-e	-er	-er	-	-	-em	-es + (e)s	-e	-e	-en + n	-er
their:ihr	-	-en	-em	-es + (e)s	-e	-e	-er	-er	-	-	-em	-es + (e)s	-e	-e	-en + n	-er
																
REGULAR ADJECTIVES																
following 'a': an old fish	masc				fem				neuter				plural			
	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen
old: alt-	-er	-en	-en	-en + '(e)s'	-e	-e	-en	-en	-es	-es	-en	-en + '(e)s'	-en	-en	-en + 'n'	-en
																
following 'the' and 'this/these':	masc				fem				neuter				plural			
the old fish, this old fish	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen
old: alt-	-e	-en	-en	-en + '(e)s'	-e	-e	-en	-en	-e	-e	-en	-en + '(e)s'	-en	-en	-en + 'n'	-en
																
after a possessive: my old fish	masc				fem				neuter				plural			
	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen
old: alt-	-er	-en	-en	-en + (e)s	-e	-e	-en	-en	-es	-es	-en	-en + (e)s	-en	-en	-en + 'n'	-en
																
unpreceded: old fish	masc				fem				neuter				plural			
	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen
old: alt-	-er	-en	-em	-en + (e)s	-e	-e	-er	-er	-es	-es	-em	-en + (e)s	-e	-e	-en + 'n'	-er
																
RELATIVE PRONOUNS. These are all the same as 'the', except for all genitive, and one dative.																
the man whose dog I ate is here.'	masc				fem				neuter				plural			
	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen
that,who,which, whose	der	den	dem	dessen	die	die	der	deren	das	das	dem	dessen	die	die	denen	denen
																
WELCHER																
The dog which I ate is here.	masc				fem				neuter				plural			
	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen	nom	acc	dat	gen
welch-	-e	-en	-em	dessen	-e	-e	-er	deren	-es	-es	-em	dessen	-e	-e	-en	denen
